#date     expnum ccd id ccdnum
#select nite || ' ' || expnum || ' nan N15  46' as lightbulb from exposure 
# where expnum >= 694884 and expnum <= 698401 and obstype = 'object' order by expnum asc;
20171114 696390 nan N15  46
20171114 696391 nan N15  46
20171114 696392 nan N15  46
20171114 696393 nan N15  46
20171114 696394 nan N15  46
20171114 696395 nan N15  46
20171114 696396 nan N15  46
20171114 696397 nan N15  46
20171114 696398 nan N15  46
20171114 696399 nan N15  46
20171114 696400 nan N15  46
20171114 696401 nan N15  46
20171114 696416 nan N15  46
20171114 696417 nan N15  46
20171114 696419 nan N15  46
20171114 696420 nan N15  46
20171114 696432 nan N15  46
20171115 696503 nan N15  46
20171115 696504 nan N15  46
20171115 696505 nan N15  46
20171115 696506 nan N15  46
20171115 696507 nan N15  46
20171115 696508 nan N15  46
20171115 696514 nan N15  46
20171115 696515 nan N15  46
20171115 696516 nan N15  46
20171115 696523 nan N15  46
20171115 696524 nan N15  46
20171115 696525 nan N15  46
20171115 696533 nan N15  46
20171115 696542 nan N15  46
20171115 696543 nan N15  46
20171115 696544 nan N15  46
20171115 696549 nan N15  46
20171115 696550 nan N15  46
20171115 696551 nan N15  46
20171115 696554 nan N15  46
20171115 696555 nan N15  46
20171115 696556 nan N15  46
20171115 696557 nan N15  46
20171115 696558 nan N15  46
20171115 696559 nan N15  46
20171115 696560 nan N15  46
20171115 696561 nan N15  46
20171115 696566 nan N15  46
20171115 696570 nan N15  46
20171115 696573 nan N15  46
20171115 696608 nan N15  46
20171115 696612 nan N15  46
20171115 696613 nan N15  46
20171115 696614 nan N15  46
20171115 696615 nan N15  46
20171115 696616 nan N15  46
20171115 696617 nan N15  46
20171115 696618 nan N15  46
20171115 696619 nan N15  46
20171115 696620 nan N15  46
20171115 696621 nan N15  46
20171115 696622 nan N15  46
20171115 696623 nan N15  46
20171115 696624 nan N15  46
20171115 696625 nan N15  46
20171115 696626 nan N15  46
20171115 696666 nan N15  46
20171116 696857 nan N15  46
20171116 696860 nan N15  46
20171116 696862 nan N15  46
20171116 696865 nan N15  46
20171116 696866 nan N15  46
20171116 696874 nan N15  46
20171116 696875 nan N15  46
20171116 696876 nan N15  46
20171116 696877 nan N15  46
20171116 696878 nan N15  46
20171116 696879 nan N15  46
20171116 696880 nan N15  46
20171116 696881 nan N15  46
20171116 696882 nan N15  46
20171116 696883 nan N15  46
20171116 696884 nan N15  46
20171116 696885 nan N15  46
20171116 696897 nan N15  46
20171116 696901 nan N15  46
20171116 696902 nan N15  46
20171116 696905 nan N15  46
20171116 696906 nan N15  46
20171116 696910 nan N15  46
20171116 696917 nan N15  46
20171116 696970 nan N15  46
20171116 696971 nan N15  46
20171116 696972 nan N15  46
20171116 696973 nan N15  46
20171116 696974 nan N15  46
20171116 696975 nan N15  46
20171116 696976 nan N15  46
20171116 696977 nan N15  46
20171116 696978 nan N15  46
20171116 696979 nan N15  46
20171116 696980 nan N15  46
20171116 696981 nan N15  46
20171116 696982 nan N15  46
20171116 696983 nan N15  46
20171116 696984 nan N15  46
20171116 696985 nan N15  46
20171116 697004 nan N15  46
20171116 697015 nan N15  46
20171116 697016 nan N15  46
20171117 697214 nan N15  46
20171117 697218 nan N15  46
20171117 697220 nan N15  46
20171117 697221 nan N15  46
20171117 697222 nan N15  46
20171117 697223 nan N15  46
20171117 697224 nan N15  46
20171117 697225 nan N15  46
20171117 697226 nan N15  46
20171117 697227 nan N15  46
20171117 697228 nan N15  46
20171117 697229 nan N15  46
20171117 697244 nan N15  46
20171117 697245 nan N15  46
20171117 697246 nan N15  46
20171117 697247 nan N15  46
20171117 697249 nan N15  46
20171117 697250 nan N15  46
20171117 697261 nan N15  46
20171117 697262 nan N15  46
20171117 697263 nan N15  46
20171117 697264 nan N15  46
20171117 697265 nan N15  46
20171117 697266 nan N15  46
20171117 697267 nan N15  46
20171117 697271 nan N15  46
20171117 697272 nan N15  46
20171117 697283 nan N15  46
